Year,Location,Total Sentences
2000,Total Regions,75663
2000,Te Tai Tokerau Justice Service Area,3561
2000,Auckland Justice Service Area,8220
2000,South Auckland Justice Service Area,8576
2000,Waikato Justice Service Area,5473
2000,Bay of Plenty Justice Service Area,4744
2000,Waiariki Justice Service Area,4091
2000,East Coast Justice Service Area,4740
2000,Taranaki/Whanganui Justice Service Area,3993
2000,Manawatū/Wairarapa Justice Service Area,3448
2000,Northern Wellington Justice Service Area,4047
2000,Wellington Justice Service Area,2588
2000,Nelson/Marlborough/West Coast Justice Service Area,3039
2000,Canterbury Justice Service Area,7171
2000,Otago Justice Service Area,3177
2000,Southland Justice Service Area,2533
2001,Total Regions,74064
2001,Te Tai Tokerau Justice Service Area,3711
2001,Auckland Justice Service Area,8288
2001,South Auckland Justice Service Area,8208
2001,Waikato Justice Service Area,5316
2001,Bay of Plenty Justice Service Area,4298
2001,Waiariki Justice Service Area,3588
2001,East Coast Justice Service Area,5173
2001,Taranaki/Whanganui Justice Service Area,3592
2001,Manawatū/Wairarapa Justice Service Area,3403
2001,Northern Wellington Justice Service Area,4041
2001,Wellington Justice Service Area,2829
2001,Nelson/Marlborough/West Coast Justice Service Area,3040
2001,Canterbury Justice Service Area,6741
2001,Otago Justice Service Area,3006
2001,Southland Justice Service Area,2300
2002,Total Regions,74405
2002,Te Tai Tokerau Justice Service Area,3895
2002,Auckland Justice Service Area,8129
2002,South Auckland Justice Service Area,7792
2002,Waikato Justice Service Area,5486
2002,Bay of Plenty Justice Service Area,4422
2002,Waiariki Justice Service Area,3725
2002,East Coast Justice Service Area,5172
2002,Taranaki/Whanganui Justice Service Area,3469
2002,Manawatū/Wairarapa Justice Service Area,3535
2002,Northern Wellington Justice Service Area,3947
2002,Wellington Justice Service Area,2780
2002,Nelson/Marlborough/West Coast Justice Service Area,2963
2002,Canterbury Justice Service Area,6765
2002,Otago Justice Service Area,3126
2002,Southland Justice Service Area,2441
2003,Total Regions,73876
2003,Te Tai Tokerau Justice Service Area,3664
2003,Auckland Justice Service Area,8004
2003,South Auckland Justice Service Area,7036
2003,Waikato Justice Service Area,5341
2003,Bay of Plenty Justice Service Area,5141
2003,Waiariki Justice Service Area,3605
