Year,Region,Median Rent,Geometric Mean Rent,Upper Quartile Rent,Lower Quartile Rent,Log Std Dev Weekly Rent,Total Sentences
1995,Waikato Region,152.08333333333331,149.6372549019608,182.91666666666669,125.32352941176471,0.31803921568627447,6010.0
1995,Wellington Region,152.08333333333331,149.6372549019608,182.91666666666669,125.32352941176471,0.31803921568627447,4028.0
1996,ALL,160.1372549019608,157.13235294117646,192.62745098039215,131.44117647058823,0.33519607843137256,81951.0
1996,Auckland Region,160.1372549019608,157.13235294117646,192.62745098039215,131.44117647058823,0.33519607843137256,9426.0
1996,Bay of Plenty Region,160.1372549019608,157.13235294117646,192.62745098039215,131.44117647058823,0.33519607843137256,4592.5
1996,Canterbury Region,160.1372549019608,157.13235294117646,192.62745098039215,131.44117647058823,0.33519607843137256,7489.0
1996,Gisborne Region,160.1372549019608,157.13235294117646,192.62745098039215,131.44117647058823,0.33519607843137256,5101.0
1996,Manawatu-Wanganui Region,160.1372549019608,157.13235294117646,192.62745098039215,131.44117647058823,0.33519607843137256,3829.0
1996,Marlborough Region,160.1372549019608,157.13235294117646,192.62745098039215,131.44117647058823,0.33519607843137256,3016.0
1996,Northland Region,160.1372549019608,157.13235294117646,192.62745098039215,131.44117647058823,0.33519607843137256,3528.0
1996,Otago Region,160.1372549019608,157.13235294117646,192.62745098039215,131.44117647058823,0.33519607843137256,3824.0
1996,Southland Region,160.1372549019608,157.13235294117646,192.62745098039215,131.44117647058823,0.33519607843137256,2822.0
1996,Taranaki Region,160.1372549019608,157.13235294117646,192.62745098039215,131.44117647058823,0.33519607843137256,3814.0
1996,Waikato Region,160.1372549019608,157.13235294117646,192.62745098039215,131.44117647058823,0.33519607843137256,6396.0
1996,Wellington Region,160.1372549019608,157.13235294117646,192.62745098039215,131.44117647058823,0.33519607843137256,3989.0
1997,ALL,165.30882352941177,161.49019607843138,197.13235294117646,135.77450980392157,0.3241176470588235,81790.0
1997,Auckland Region,165.30882352941177,161.49019607843138,197.13235294117646,135.77450980392155,0.3241176470588235,9317.0
1997,Bay of Plenty Region,165.30882352941177,161.49019607843138,197.13235294117646,135.77450980392155,0.3241176470588235,4780.0
1997,Canterbury Region,165.30882352941177,161.49019607843138,197.13235294117646,135.77450980392157,0.3241176470588235,7462.0
1997,Gisborne Region,165.30882352941177,161.49019607843138,197.13235294117646,135.77450980392157,0.3241176470588235,5462.0
1997,Manawatu-Wanganui Region,165.30882352941177,161.49019607843138,197.13235294117646,135.77450980392157,0.3241176470588235,3552.0
1997,Marlborough Region,165.30882352941177,161.49019607843138,197.13235294117646,135.77450980392157,0.3241176470588235,3019.0
1997,Northland Region,165.30882352941177,161.49019607843138,197.13235294117646,135.77450980392157,0.3241176470588235,3329.0
1997,Otago Region,165.30882352941177,161.49019607843138,197.13235294117646,135.77450980392157,0.3241176470588235,3657.0
1997,Southland Region,165.30882352941177,161.49019607843138,197.13235294117646,135.77450980392157,0.3241176470588235,2713.0
1997,Taranaki Region,165.30882352941177,161.49019607843138,197.13235294117646,135.77450980392157,0.3241176470588235,3852.0
1997,Waikato Region,165.30882352941177,161.49019607843138,197.13235294117646,135.77450980392157,0.3241176470588235,6391.0
1997,Wellington Region,165.30882352941177,161.49019607843138,197.13235294117646,135.77450980392155,0.3241176470588235,4148.0
